Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_perc_Change,Trend,sma21,sma34,Trade Call,sma14,std14,Bollinger Upper,Bollinger Lower
2019-06-04,1729.56,1699.24,1730.82,1680.89,5.68,6,2019,-0.5142364106988762,Slight negative,1867.4361904761893,1912.327647058822,HODL,1847.9821428571438,65.08582844433684,1978.1537997458174,1717.8104859684702
2019-06-03,1692.69,1760.01,1766.29,1672.0,9.1,6,2019,-2.13175605356275,Negative,1855.9304761904752,1903.7117647058808,HODL,1832.3671428571438,74.29828100595245,1980.9637048690488,1683.7705808452388
2019-05-31,1775.07,1790.01,1795.59,1772.7,4.62,5,2019,4.866809634368963,Among top gainers,1848.9247619047608,1898.1397058823513,HODL,1822.1442857142868,71.3697596717566,1964.8838050578,1679.4047663707736
2019-05-30,1816.32,1825.49,1829.47,1807.83,3.15,5,2019,2.3238520171035453,Positive,1845.2433333333324,1893.3873529411749,HODL,1815.5392857142867,66.87130688169499,1949.2818994776767,1681.7966719508968
2019-05-29,1819.19,1823.12,1830.0,1807.53,4.28,5,2019,0.1580118040873879,Slight or No change,1841.1914285714277,1888.30382352941,HODL,1809.6692857142866,62.20131800041617,1934.071921715119,1685.2666497134542
2019-05-28,1836.43,1832.75,1849.27,1827.35,3.2,5,2019,0.9476745144817222,Slight positive,1838.2676190476182,1883.2017647058804,HODL,1806.1264285714296,58.839091480610236,1923.8046115326501,1688.4482456102091
2019-05-24,1823.28,1835.89,1841.76,1817.85,3.37,5,2019,-0.7160632313782722,Slight negative,1835.6490476190468,1877.3867647058808,HODL,1802.812857142858,56.233883766963515,1915.280624676785,1690.3450896089312
2019-05-23,1815.48,1836.59,1844.0,1804.2,4.42,5,2019,-0.4278004475450792,Slight or No change,1830.9623809523803,1871.6361764705866,HODL,1798.8971428571438,52.988045448378564,1904.8732337539009,1692.9210519603866
2019-05-22,1859.68,1851.78,1871.48,1851.0,2.94,5,2019,2.4346178421133846,Positive,1828.5042857142848,1867.477647058822,HODL,1799.2085714285724,53.35670066162617,1905.9219727518248,1692.49517010532
2019-05-21,1857.52,1874.79,1879.0,1846.0,4.01,5,2019,-0.11614901488428142,Slight or No change,1825.615238095237,1862.7749999999983,HODL,1798.7671428571437,52.804820500895,1904.3767838589335,1693.1575018553538
2019-05-20,1858.97,1852.69,1867.78,1835.54,3.8,5,2019,0.078061070674873,Slight or No change,1823.242857142856,1858.9711764705864,HODL,1798.6485714285723,52.65688060192273,1903.9623326324177,1693.3348102247269
2019-05-17,1869.0,1893.05,1910.53,1867.33,4.74,5,2019,0.539546092728771,Slight positive,1821.7014285714274,1856.5205882352923,HODL,1803.2892857142867,55.92891676243743,1915.1471192391616,1691.4314521894119
2019-05-16,1907.57,1885.94,1917.51,1882.29,4.71,5,2019,2.063670411985008,Positive,1822.7271428571416,1855.4811764705864,HODL,1814.2328571428582,60.42687652521263,1935.0866101932834,1693.379104092433
2019-05-15,1871.15,1827.95,1874.43,1823.0,4.69,5,2019,-1.9092353098444592,Negative,1822.797619047618,1853.4855882352922,HODL,1823.707857142858,57.989079234278734,1939.6860156114155,1707.7296986743006
2019-05-14,1840.12,1839.5,1852.44,1815.75,4.63,5,2019,-1.6583384549608615,Negative,1821.360476190475,1850.7152941176453,HODL,1831.605000000001,51.32697922295595,1934.2589584459129,1728.951041554089
2019-05-13,1822.68,1836.56,1846.54,1818.0,5.78,5,2019,-0.9477642762428462,Slight negative,1819.8061904761894,1847.788529411763,HODL,1840.890000000001,32.60873596965057,1906.107471939302,1775.6725280607
2019-05-10,1889.98,1898.0,1903.79,1856.0,5.72,5,2019,3.6923650887703774,Among top gainers,1821.0576190476183,1847.6811764705867,HODL,1849.0978571428582,29.032708922223723,1907.1632749873056,1791.0324392984107
2019-05-09,1899.87,1900.0,1909.4,1876.0,5.31,5,2019,0.5232859606979945,Slight positive,1822.92619047619,1847.5514705882338,HODL,1855.065714285715,30.334652110766957,1915.735018507249,1794.3964100641813
2019-05-08,1917.77,1918.87,1935.37,1910.0,4.08,5,2019,0.9421697274023976,Slight positive,1828.3423809523804,1848.137941176469,HODL,1862.1071428571438,32.71450053194905,1927.536143921042,1796.6781417932457
2019-05-07,1921.0,1939.99,1949.1,1903.38,5.9,5,2019,0.16842478503678038,Slight or No change,1836.2776190476184,1849.3947058823514,HODL,1868.1478571428581,35.31320393249495,1938.774265007848,1797.5214492778682
2019-05-06,1950.55,1917.98,1959.0,1910.5,5.42,5,2019,1.5382613222280073,Positive,1846.3752380952376,1850.472647058822,HODL,1877.2385714285724,39.05745685862945,1955.3534851458312,1799.1236577113136
2019-05-03,1962.46,1949.0,1964.4,1936.0,6.38,5,2019,0.6105970110994452,Slight positive,1857.4657142857138,1851.9773529411748,BUY,1887.737142857144,40.89084426928504,1969.518831395714,1805.9554543185739
2019-05-02,1900.82,1913.33,1921.55,1881.87,3.96,5,2019,-3.14095573922526,Among top losers,1867.376666666666,1851.4664705882335,HODL,1890.6757142857152,40.1917135956931,1971.0591414771015,1810.292287094329
2019-05-01,1911.52,1933.09,1943.64,1910.55,3.12,5,2019,0.5629149524941868,Slight positive,1873.874285714285,1851.5467647058806,HODL,1894.5328571428581,39.34732625625873,1973.2275096553756,1815.8382046303407
2019-04-30,1926.52,1930.1,1935.71,1906.95,3.51,4,2019,0.7847158282414002,Slight positive,1879.121904761904,1852.2864705882332,HODL,1899.3578571428582,38.78866689730802,1976.935190937474,1821.7805233482422
2019-04-29,1938.43,1949.0,1956.34,1934.09,4.02,4,2019,0.6182131511741407,Slight positive,1884.799999999999,1853.8276470588216,HODL,1904.3171428571438,39.04632208200745,1982.4097870211588,1826.224498693129
2019-04-26,1950.63,1929.0,1951.0,1898.0,8.43,4,2019,0.6293753192016194,Slight positive,1890.2380952380943,1856.2088235294098,HODL,1907.3928571428582,40.97077559367474,1989.3344083302077,1825.4513059555088
2019-04-25,1902.25,1917.0,1922.45,1900.31,6.1,4,2019,-2.4802243377780586,Negative,1893.9985714285704,1857.1485294117626,HODL,1909.6142857142866,39.67723212940331,1988.968749973093,1830.25982145548
2019-04-24,1901.75,1925.0,1929.69,1898.16,3.68,4,2019,-0.02628466289920084,Slight or No change,1898.1066666666654,1858.5141176470568,HODL,1914.0164285714295,34.448135956523565,1982.9127004844765,1845.1201566583825
