Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2017-09-28,BAJFINANCE,EQ,1806.75,1817,1855,1791,1840.2,1842.85,1836.41,3925555,7208934248,62434,2845520,72.49,0.014226747385801,0.035734226689001,-0.007797307509697,0.028228594068912,-1
2017-09-29,BAJFINANCE,EQ,1842.85,1857.95,1875,1830.35,1836.1,1838.05,1857.6,1216964,2260636381.1,48509,384644,31.61,-0.010710729567534,0.024394241538504,-0.002446919104951,0.025526658383495,-1
2017-10-03,BAJFINANCE,EQ,1838.05,1860,1873.5,1831.7,1872.95,1867.8,1856.41,975293,1810539250.35,33905,535047,54.86,0.004193548387097,0.022820330840203,0.007998429831092,0.017885165980704,-1
2017-10-04,BAJFINANCE,EQ,1867.8,1879.95,1879.95,1852,1862,1862.65,1863.91,538069,1002910577.7,23734,169438,31.49,-0.009202372403521,0.015091792656588,0.002536065785972,0.015587724776311,-1
2017-10-05,BAJFINANCE,EQ,1862.65,1865,1885.5,1855.4,1867,1866.2,1872.35,398463,746062275.75,18446,88363,22.18,0.000643431635389,0.016222916891236,0.006542046140653,0.010784565931636,1
2017-10-06,BAJFINANCE,EQ,1866.2,1880,1934.55,1868.4,1926,1923.6,1906.7,1227615,2340687926.5,31737,293154,23.88,0.023191489361702,0.035404624277457,0.008697458385163,0.014558505515697,1
2017-10-09,BAJFINANCE,EQ,1923.6,1928,1954,1916,1940.5,1941.3,1938.19,999574,1937362470.7,35652,314837,31.5,0.006898340248963,0.019832985386221,0.011058690075391,0.013157121670509,1
2017-10-10,BAJFINANCE,EQ,1941.3,1944,1959.4,1943,1949.75,1950.8,1950.94,517117,1008863606.4,20493,158575,30.67,0.003497942386831,0.008440555841482,0.00880028936931,0.013025551773322,1
2017-10-11,BAJFINANCE,EQ,1950.8,1967,1967,1901.95,1922.85,1923.55,1933.33,726978,1405488998.55,28265,277413,38.16,-0.022089476359939,0.034201740319146,0.006558014623103,0.016111857471672,1
2017-10-12,BAJFINANCE,EQ,1923.55,1940,1957.75,1923,1953,1953.15,1939.04,1019350,1976564299.45,20123,604957,59.35,0.006778350515464,0.018070722828913,0.009254480168105,0.016266094406026,1
2017-10-13,BAJFINANCE,EQ,1953.15,1955.1,1973.7,1948.45,1953,1953.05,1955.5,849832,1661844702.95,26474,460159,54.15,-0.001048539716639,0.012959018707178,0.003092702414705,0.011098574755948,1
2017-10-16,BAJFINANCE,EQ,1953.05,1966,1967,1875.35,1882.45,1886.3,1920.54,2652753,5094715936.9,78653,1341251,50.56,-0.040539165818922,0.048870877436212,-0.005583059505607,0.019157934735165,1
2017-10-17,BAJFINANCE,EQ,1886.3,1880.25,1902,1856.4,1872,1867.1,1879.04,1782421,3349239352.7,55613,604632,33.92,-0.006993750831007,0.024563671622495,-0.008597516427733,0.018262185197953,1
2017-10-18,BAJFINANCE,EQ,1867.1,1870,1884,1848.65,1872.9,1868.5,1867.98,710046,1326354710.65,31751,262659,36.99,-0.000802139037433,0.019122062045276,-0.005653825590065,0.018365912862083,1
2017-10-19,BAJFINANCE,EQ,1868.5,1872.8,1872.8,1832,1839.25,1845.9,1854.36,169845,314953117.45,6851,74078,43.62,-0.014363519863306,0.022270742358079,-0.011150521205994,0.014114561451064,1
2017-10-23,BAJFINANCE,EQ,1845.9,1845,1856.9,1812.2,1836.4,1833.75,1832.25,1011137,1852659365.05,28835,468621,46.35,-0.00609756097561,0.024666151638892,-0.012456712346329,0.01309606550586,-1
2017-10-24,BAJFINANCE,EQ,1833.75,1848,1848,1816,1826,1826.05,1828.03,929872,1699829366.35,32263,527972,56.78,-0.011877705627706,0.017621145374449,-0.006461058998857,0.005066878315584,-1
2017-10-25,BAJFINANCE,EQ,1826.05,1820,1820,1713.55,1731.9,1726.35,1747.97,2865279,5008421484.2,78688,1674601,58.44,-0.051456043956044,0.06212249423711,-0.01534507247734,0.022424756452126,-1
2017-10-26,BAJFINANCE,EQ,1726.35,1739,1766,1700.1,1754.1,1746.75,1742.35,1641262,2859656614.9,54063,717540,43.72,0.004456584243818,0.038762425739663,-0.013131669864879,0.024827941578687,-1
2017-10-27,BAJFINANCE,EQ,1746.75,1760.05,1828.65,1752.45,1823.5,1819,1803.07,1656079,2986020937.15,40849,767329,46.33,0.03349336666572,0.043481982367543,-0.002440111066072,0.034866543097948,-1
2017-10-30,BAJFINANCE,EQ,1819,1832,1836.25,1797.8,1804.3,1804.3,1812.83,563901,1022259449.15,18534,196030,34.76,-0.015120087336245,0.021387251084659,-0.002739952734103,0.034917477660489,-1
2017-10-31,BAJFINANCE,EQ,1804.3,1787,1824.05,1774.55,1800.2,1800.6,1800.2,764883,1376943973.75,26964,251068,32.82,0.007610520425294,0.027894395762306,-0.002310274952695,0.034908251339898,-1
2017-11-01,BAJFINANCE,EQ,1800.6,1809.6,1819.7,1801,1804.15,1806.75,1809.47,468999,848640264.3,13867,176030,37.53,-0.001574933687003,0.010383120488618,0.009292575483121,0.019364376251642,-1
2017-11-02,BAJFINANCE,EQ,1806.75,1815,1821.9,1802,1810,1810.2,1810.78,458603,830428226.25,17854,214936,46.87,-0.002644628099174,0.011043285238624,0.007311108887826,0.019547525607795,-1
2017-11-03,BAJFINANCE,EQ,1810.2,1825,1845,1808.4,1833.65,1836.95,1827.91,769995,1407480452.55,27818,377379,49.01,0.006547945205479,0.020238885202389,0.001994077338301,0.008415977274418,-1
2017-11-06,BAJFINANCE,EQ,1836.95,1818,1844.9,1811.8,1816.15,1822,1831.05,583097,1067680073.1,19471,295547,50.69,0.002200220022002,0.018269124627442,0.001982651929095,0.00843309648151,-1
2017-11-07,BAJFINANCE,EQ,1822,1848,1848,1773.3,1798.85,1802.55,1797.15,769590,1383071433.6,23907,313648,40.76,-0.024594155844156,0.042124851970902,0.000257766816551,0.010167878088523,-1
2017-11-08,BAJFINANCE,EQ,1802.55,1794.55,1804.9,1771.55,1782.45,1775.7,1785,549567,980975086.45,38151,279238,50.81,-0.010504026078961,0.018825322457735,-0.003404451738264,0.011896803692798,-1
2017-11-09,BAJFINANCE,EQ,1775.7,1787.05,1793.4,1733,1753,1753,1757.93,866349,1522982760,37793,426981,49.29,-0.019053747796648,0.034852856318523,-0.00634309112984,0.01206948348092,-1
2017-11-10,BAJFINANCE,EQ,1753,1731.1,1769,1731.1,1741,1745,1751.56,805954,1411677148.75,26854,447049,55.47,0.008029576569811,0.021893593668766,-0.01021128671267,0.004030124678634,-1
2017-11-13,BAJFINANCE,EQ,1745,1759.95,1759.95,1718.5,1728,1728.75,1736.25,544530,945441622.5,36384,279343,51.3,-0.017727776357283,0.024119871981379,-0.010446052809549,0.003911639655663,-1
2017-11-14,BAJFINANCE,EQ,1728.75,1731,1769.9,1720.2,1752,1754.9,1744.76,633554,1105398440.5,29951,193953,30.61,0.013807047949162,0.028891989303569,-0.005285729041161,0.01206196358852,-1
2017-11-15,BAJFINANCE,EQ,1754.9,1762.1,1763.95,1707.05,1719,1713.8,1721.57,926465,1594969945.65,50982,458440,49.48,-0.027410476136428,0.033332356990129,-0.006990643697722,0.014176900554834,-1
